epoch, iou_loss, l1_loss, obj_loss, cls_los,
 1, 2.938, 1.977, 5.264, 1.183,
 2, 2.868, 1.865, 4.964,  1.01,
 3, 2.777, 1.781, 4.376,0.8825,
 4, 2.656, 1.683, 3.894,0.8245,
 5, 2.622, 1.596, 3.522,0.7933,
 6, 2.578, 1.553, 3.354,0.7715,
 7, 2.523, 1.513, 3.161,0.7557,
 8, 2.434, 1.432, 2.924,0.7429,
 9, 2.412, 1.425,  2.94,0.7361,
10, 2.392, 1.372, 2.768,0.7253,
11, 2.379,  1.36, 2.691,0.7238,
12, 2.292, 1.318, 2.594,0.7187,
13, 2.258, 1.282, 2.501,0.7087,
14, 2.263, 1.276, 2.448,0.7061,
15, 2.252, 1.285, 2.419,0.7062,
16, 2.185, 1.226, 2.231,0.6946, 
17, 2.183, 1.221, 2.164, 0.699,
18, 2.402, 1.335, 2.616,0.7183,
19, 2.398, 1.312, 2.412,0.7159,
20, 2.266,  1.25, 2.134,0.6982,
21, 2.239, 1.222, 2.182,0.6958,
22, 2.192, 1.191, 2.077,0.6916,
23, 2.168,  1.17, 2.014,0.6835,
24, 2.191, 1.173,  1.96,0.6875,
25, 2.132,  1.12, 1.886,0.6805,
26, 2.061, 1.103, 1.795,0.6676,
27, 2.093, 1.117, 1.832,0.6793,
28, 1.967, 1.059, 1.652,0.6596,
29, 2.021, 1.066, 1.662,0.6627,
30, 2.015, 1.071, 1.637,0.6616,
31, 2.045, 1.068, 1.627,0.6671,
32, 1.936, 1.034, 1.623,0.6521,
33, 1.989,  1.05, 1.552,0.6502,
34, 1.886,0.9892, 1.457,0.6424,
35, 1.906,0.9919, 1.469,0.6379,
36, 1.876,0.9715, 1.403,0.6362,
37, 1.838,0.9471, 1.355,0.6258,
38, 1.838,0.9503, 1.335,0.6336,
39,   1.8, 0.935, 1.344,0.6318,
40, 1.802,0.9285, 1.298,0.6209,
41, 1.773,0.9033, 1.284,0.6215,
42, 1.741,0.8652, 1.229,0.6072,
43,  1.73,0.8856, 1.219,0.6125,
44,  1.73,0.8817, 1.217,0.6102,
45, 1.675,0.8573, 1.187,0.5987,
46, 1.741,0.8759, 1.183,0.6059,
47, 1.735,0.8791, 1.183,0.6059,
48, 1.709,0.8568, 1.141,0.5978,
49, 1.733,0.8631, 1.131,0.6015,
50,  1.69,0.8494, 1.147,0.5971,
51, 1.667,0.8337, 1.114,0.5947,
52, 1.665,0.8315, 1.094, 0.591,
53, 1.639,0.8209, 1.087,0.5872,
54, 1.631,0.8149, 1.067,0.5904,
55, 1.671,  0.83,  1.08,0.5948,
56, 1.612, 0.805, 1.075,0.5862,
57, 1.662,0.8134, 1.024,0.5818,
58, 1.605,0.7819,0.9916,0.5827,
59, 1.591,0.7969, 1.034,0.5797,
60, 1.615,0.7895, 1.036,0.5806,
61, 1.644,0.8015,0.9931,0.5857,
62,  1.53,0.7607,0.9653,0.5658,
63, 1.601,0.7837,0.9994,0.5775,
64, 1.569,0.7693,0.9935,0.5664,
65, 1.613,0.7671, 0.945,0.5687,
66, 1.561,0.7859,0.9807,0.5734,
67, 1.609,0.7649,0.9428,0.5696,
68, 1.594,0.7755,0.9425,0.5706,
69, 1.511, 0.745,0.9646, 0.565,
70, 1.601,0.7683, 0.963,0.5713,
71, 1.586,0.7552,0.9365,0.5655,
72, 1.571,0.7499,0.9273,0.5594,
73, 1.508,0.7384,0.9165,0.5604,
74, 1.556,0.7431,0.9112,0.5636,
75, 1.534, 0.728,0.9003,0.5506,
76, 1.483,0.7318, 0.911,0.5582,
77, 1.513,0.7243,0.8969,0.5545,
78, 1.551,0.7332,0.8979,0.5555,
79, 1.582,0.7393,0.9206,0.5632,
80, 1.489,0.7135,0.8844,0.5545,
81, 1.528,0.7199,0.8743,0.5502,
82, 1.503,0.7264,0.8654,0.5555,
83, 1.533,0.7263,0.8793,0.5598,
84, 1.508,0.7158,0.8934,0.5525,
85, 1.515,0.7099,0.8662, 0.551,
86, 1.485,0.6996,0.8652,0.5472,
87, 1.471,0.7033,0.8475, 0.547,
88, 1.501,0.7052,0.8476,0.5437,
89, 1.552,0.7143,0.8469,0.5554,
90, 1.471,0.6942,0.8585,0.5466,
91, 1.465,0.7055,0.8648,0.5453,
92, 1.458,0.6709,0.8338,0.5374,
93,  1.48,0.6794,0.8195,0.5343,
94, 1.458,0.6768,0.8172,0.5375,
95, 1.433,0.6814,0.8129, 0.544,
96, 1.457,0.6766,0.8269,0.5373,
97, 1.513,0.6897,0.8182,0.5459,
98, 1.497,0.6711,0.8109,0.5411,
99, 1.484,0.6794,0.8368,0.5361,
   00, 1.468,0.6831,0.7988,0.5393,
   01, 1.468,0.6766,0.7979, 0.537,
   02, 1.464,0.6687,0.8081,0.5339,
   03,  1.46,0.6745,0.8031,0.5357,
   04, 1.471,0.6812,0.7877,0.5324,
   05, 1.404,0.6547,0.7968,0.5301,
   06, 1.421, 0.653, 0.776,0.5286,
   07, 1.444,0.6717,0.7818,0.5377,
   08, 1.415,0.6516,0.7779,0.5287,
   09, 1.458,0.6609,0.7576,0.5332,
   10, 1.414,0.6614,0.7774,0.5314,
   11, 1.428,0.6613,0.7723,0.5321,
   12, 1.443,0.6513, 0.787,0.5257,
   13, 1.445,0.6499,0.7335,0.5251,
   14, 1.359,0.6405,0.7594,0.5228,
   15, 1,0.6433,0.7687,0.5188,
   16, 1.421,0.6542,0.7778,0.5287,
   17, 1.433,0.6623,0.7663,0.5308,
   18, 1.443,0.6498,0.7629, 0.525,
   19, 1.369,0.6411,0.7402,0.5263,
   20, 1.387, 0.638,0.7373,0.5227,
   21, 1.391,0.6468,0.7649,0.5217,
   22, 1.374,0.6283,0.7453,0.5196,
   23, 1.371,0.6327,0.7323,0.5197,
   24, 1.413,0.6427,0.7226,0.5221,
   25, 1.343,0.6178,0.7333, 0.524,
   26, 1.379, 0.629,0.7683,0.5221,
   27, 1.377,0.6189,0.7255,0.5151,
   28, 1.352,0.6247,0.7161,0.5153,
   29, 1.374,0.6258,0.7144,0.5127,
   30, 1.313, 0.604,0.7289,0.5109,
   31, 1.358, 0.612,0.7267,0.5097,
   32, 1.419,0.6145,0.7068,0.5117,
   33, 1.348,0.6043,0.7063,0.5117,
   34, 1.329, 0.594,0.7073,0.5035,
   35, 1.354,  0.61,0.6951,0.5134,
   36, 1.415,0.6143,0.7026,0.5164,
   37, 1.348,0.6055,0.6967,0.5099,
   38, 1.365,0.6076,0.6964,0.5067,
   39, 1.322,0.6095,0.7226,0.5094,
   40, 1.377,0.6061,0.6849,0.5073,
   41, 1.372,0.6148,0.7112,0.5105,
   42, 1.355,0.6031,0.7212,0.5066,
   43, 1.353,0.5995, 0.702,0.5071,
   44, 1.348,0.6095,0.6732,0.5111,
   45, 1.346,0.6102,0.6925,0.5095,
   46, 1.328,0.5993,0.6896, 0.505,
   47, 1.339,0.5898,0.6713,0.5012,
   48, 1.333,0.6006,0.7011,0.5059,
   49, 1.298,0.5828,0.6729,0.4982,
   50, 1.313,0.5972,0.6507,0.5044,
   51, 1.344,0.5905,0.6626,0.4996,
   52, 1.342,0.5936,0.6971,0.4969,
   53, 1.325, 0.591,0.6751, 0.505,
   54, 1.295,0.5812,0.6625,0.4972,
   55, 1.283,0.5746,0.6526, 0.495,
